AAL1350,MKJS,KPHL
AAL1350,KPHX,KCMH
AAL1353,KBOS,KPHX
AAL1356,KPHX,KPHL
AAL1357,KMIA,KJFK
AAL1364,KFLL,KDFW
AAL1367,KPBI,KLGA
AAL1367,KDCA,KMIA
AAL1367,KTPA,KDCA
AAL1367,KMIA,KDTW
AAL1368,KDCA,KRSW
AAL1373,KFLL,KDFW
AAL1380,KFLL,KPHL
AAL1380,KPHL,KFLL
AAL1386,KAUS,KPHX
AAL1386FD,KAUS,KPHX
AAL1388,KTPA,KORD
AAL1388B,KTPA,KORD
AAL1389,KMIA,KLGA
AAL1392,KBOS,KDCA
AAL1394,KPHL,KAUS
AAL1398,KLGA,KDFW
AAL1400,KLGA,KMCO
AAL1400,KEWR,KMIA
AAL1402,KPHX,KBOS
AAL1406,KDFW,KSAT
AAL1409,KCLT,KORD
AAL1412,KONT,KDFW
AAL1415,KDFW,KDFW
AAL1416,KPHL,KMCO
AAL1417,KBOS,KCLT
AAL141G,KSFO,KPHL
AAL1421,KCLT,KDCA
AAL1424,KFLL,KORD
AAL1424,KDFW,KDTW
AAL1425,KBNA,KLAX
AAL1427,KPHL,KCLT
AAL1430,KDFW,KSFO
AAL1431,KPHL,KFLL
AAL1431,KPHL,KMCO
AAL1431,KJAX,KCLT
AAL1432,KDCA,KSRQ
AAL1435,KAUS,KDFW
AAL1436,TNCM,KPHL
AAL1437,KDFW,KLGA
AAL1437,KLGA,KORD
AAL1437,KPHX,KDCA
AAL1439,KDFW,KPSP,KDFW
AAL1441,KEWR,KPHX
AAL1443,KORD,KPHL
AAL1443,KATL,KMIA
AAL1450,KPHL,KRSW
AAL1450D,KPHL,KRSW
AAL1452,KPHL,KORD
AAL1453,KFLL,KLGA
AAL1453,KPIT,KPHX
AAL1453,KBOS,KDFW
AAL1456,KSLC,KDFW
AAL1459,KPHL,KPBI
AAL1460,KSAN,KDFW
AAL1463,KAUS,KDFW
AAL1463,MDPC,KBNA
AAL1463,KCLT,KMDT
AAL1463B,KAUS,KDFW
AAL1464,KPHX,KDCA
AAL1464,KCLT,KBWI
AAL1465,KEWR,KPHX
AAL1465,KPHL,TJSJ
AAL1467,KPHX,KDFW
AAL1472,KPVD,KCLT
AAL1473,KCLT,KMDT
AAL1475,KORD,KSFO
AAL1476,KSFO,KCLT,KSFO
AAL1477,KSRQ,KCLT
AAL1483,KAUS,KMIA
AAL1483,KBOS,KPHL
AAL1495,KDFW,KBOS
AAL15,KJFK,KSFO
